id,name,category,price
1,Handcrafted Marble Bacon,Sports,435.57
2,Tasty Steel Keyboard,Home,92.36
3,Ergonomic Granite Cheese,Toys,338.48
4,Handmade Cotton Sausages,Electronics,33.32
5,Fantastic Bamboo Bacon,Toys,82.97
6,Elegant Concrete Cheese,Fashion,239.03
7,Handcrafted Concrete Table,Electronics,458.66
8,Practical Gold Pizza,Electronics,120.32
9,Elegant Ceramic Computer,Toys,15.22
10,Elegant Wooden Pants,Toys,32.05
11,Recycled Gold Computer,Fashion,246.27
12,Fresh Gold Tuna,Home,465.89
13,Ergonomic Gold Chair,Toys,340.57
14,Rustic Plastic Chips,Sports,187.17
15,Awesome Rubber Fish,Fashion,412.22
16,Rustic Granite Gloves,Books,473.67
17,Incredible Plastic Cheese,Electronics,293.44
18,Elegant Bronze Keyboard,Home,367.68
19,Frozen Cotton Pants,Home,182.56
20,Generic Gold Bike,Books,81.61
21,Soft Granite Table,Books,97.95
22,Tasty Bamboo Shirt,Fashion,392.16
23,Oriental Concrete Table,Books,315.95
24,Practical Wooden Shoes,Home,277.23
25,Recycled Wooden Soap,Electronics,311.52
